k,Silhouette Coefficient
50,0.12350659915981106
60,0.13028135073464167
70,0.13265648969957267
80,0.14232405548990848
90,0.14541047220530984
100,0.1487762461970303
110,0.14677742628768561
120,0.15257948397402404
130,0.1534174278204748
140,0.15410872982482207
150,0.1579863856818378
160,0.16179719491894057
170,0.16232749619810014
180,0.16170810916589728
190,0.16355681427319138
200,0.16952454692882574
210,0.1692368387682048
220,0.16912148058421142
230,0.17232191314990927
240,0.1728303816220511
250,0.17177872607425176
260,0.17391721883981714
270,0.17527332140552274
280,0.17623801732872776
290,0.17862907048092902
300,0.1774241763081624
310,0.18060457580984654
